"PC1","PC2","PC3","PC4","PC5","PC6","Site","biome_type","biome_pca"
-1.83391249657172,-0.448768644858696,0.181240481529062,0.853461392569968,0.17856253318218,-0.112010183979332,"james","montane","forest"
-2.47799033925927,-0.135621258010807,-0.430241614376956,-0.542999841276181,-1.20255096249539,0.245367703147498,"willow","montane","forest"
-2.03440345241946,-0.477780718857529,-0.310277988551261,-0.221655846762455,0.0733198469264219,0.0803454035014618,"mission","montane","forest"
-2.96027365047645,-0.767306567770394,-0.561219099322812,0.204774513898037,0.169393169764125,0.130044277533748,"barton","montane","forest"
0.314863763718775,4.23234329278438,-2.48694940704732,0.296517039911012,0.0943619476336257,0.0200285405135113,"pacoima","montane","shrub_grass"
0.11491469735678,1.20068529470856,0.803253638379274,0.346881929169045,-0.0100583991723422,-0.327336909448894,"deep","montane","shrub_grass"
-0.693406916215926,0.439912386886821,0.39547680130162,0.138019043689147,-0.276274770131436,0.085493853430733,"wfmojave","montane","forest"
1.67345916936901,0.997041957529517,1.29154931316371,0.0276985944518734,0.0804066601387105,0.555731872733073,"cajon","desert","shrub_grass"
1.92638776928002,1.20318715186826,0.935625163806666,0.288784810157514,0.0981890374555343,0.748851567728014,"crowder","desert","shrub_grass"
-0.442625361967313,0.75321878891629,1.05160118260571,-1.15344925048545,0.17723372871105,-0.207908144323856,"rattlesnake","montane","forest"
-2.27661159324408,-0.403931590024699,-0.117321714038721,0.096342660348372,-0.042453794023478,0.0378915535442176,"strawberry","montane","forest"
1.46014585087516,-1.40903283655912,-0.633268694825928,0.0552635187221242,0.181135310773795,0.0117186231074787,"coldwater","coastal","shrub_grass"
2.04655564952107,-0.97124723762563,-0.0837661306420422,-0.863651369559764,-0.239831190738115,-0.0087946826939653,"zuma","coastal","shrub_grass"
-1.67216983293392,-0.223810557953653,0.293230506426766,0.384579163428596,0.129658350181412,-0.105063876556724,"pine","montane","forest"
-3.04105672988857,-0.579373828295176,-0.586274635124056,-0.55999778676617,0.281989084504047,0.181627492714145,"forsee","montane","forest"
-1.96149902938957,-0.049353744496609,-0.00685445429030533,-0.280260572377007,0.119549168491989,0.00360303055216131,"mill","montane","forest"
-1.42811295723141,-0.212802930070203,0.439546501452013,0.740520539550808,0.151816387778949,-0.17216033927802,"bigrock","montane","forest"
1.01211271900004,0.172945462484686,1.45377227900979,1.138524283315,0.130356812597244,0.264498230405654,"pallet","montane","shrub_grass"
1.73435324853401,-1.36018077974885,-0.245477450178754,-0.239485003760868,0.150190899598212,-0.037339425672116,"silverado","coastal","shrub_grass"
-1.45782710115783,-0.183204565690643,0.134977694888556,-0.184301946975157,0.214730750012172,-0.0493675564686384,"arroyohondo","montane","forest"
0.136131867066769,1.21250496389693,-0.902107757006029,-0.254068624199545,0.00686191163766661,-0.000313170418384393,"refugio","montane","shrub_grass"
3.06905474189682,-0.719448641628291,0.497165932087553,0.0824635781570849,-0.289607538610375,-0.236402021591307,"diamond","coastal","shrub_grass"
0.652563202368531,2.1037799353841,0.596191064783483,-0.174698086613727,0.123542366037717,-0.335580914849068,"sedgwick","montane","shrub_grass"
-1.40650197512781,0.494884832883878,0.538716250653684,-1.61404887435004,0.0563323597533639,-0.0191136312501916,"lytle","montane","forest"
2.13414783285682,0.66874477604118,-0.00195775180671098,1.08488678126544,-0.424662673508674,-0.271234050482866,"santamargarita","coastal","shrub_grass"
-1.59006098148924,-0.22464474013861,0.234218443256184,0.801120262529312,-0.323093236883143,-0.0920084577194737,"bear","montane","forest"
-1.58565343997332,-0.434276457932542,0.307070300744323,1.26561627776986,0.0687254877878168,-0.168576405579632,"government","montane","forest"
3.07703499708421,-0.145015529104185,-0.193045433072247,0.152547986450088,-0.0643202461793809,-0.184593396137746,"ortega","coastal","shrub_grass"
2.04614649391354,-1.0058091703216,-0.00445694769241203,-0.966595709922519,0.145859937305768,-0.0470717188972465,"santiago","coastal","shrub_grass"
1.91316711229389,0.0278599556913532,-1.70933363509737,-0.0977079429246397,0.14334120168047,0.102178194086959,"trabuco","coastal","shrub_grass"
0.447781722167301,-2.2167084601125,-1.14303688542207,0.655375716557175,0.13903538531817,0.135388410993886,"stunt","coastal","shrub_grass"
1.61563807931913,-1.42054444042255,-0.398575320360142,-0.0302927702585252,-0.174333574442203,0.00846999630339751,"topanga","coastal","shrub_grass"
2.16402775650089,-0.761723230299209,-0.335421400598299,-0.476434576326684,0.151776070222478,-0.054677107889979,"santaynez","coastal","shrub_grass"
-0.676380815776883,0.64347713084553,0.995950765365043,-0.953729889381726,-0.0191820213083837,-0.181686757058496,"waterman","montane","forest"
